Factura,Fecha,FechaVencimiento,Cliente,Producto,Cantidad,Moneda,Total,Almacen,Vendedor,TotalUSD,Impuesto,ImpuestoUSD,Tipo de cambio,Ganacia,GananciaUSD
000503744,20161209.,20170109.,C000344,A000321,25.00,CRC,"23,250.00",1,-1,0,0.00,0,0,"10,054.1600",0
000503860,20161209.,20170109.,C003201,A000329,6.00,CRC,"6,150.00",1,-1,0,0.00,0,0,"2,676.8000",0
000503860,20161209.,20170109.,C003201,A000324,6.00,CRC,"7,854.00",1,-1,0,"1,021.02",0,0,"2,604.1300",0
000503865,20161209.,20170109.,C002019,A000337,24.00,CRC,"33,085.92",1,-1,0,0.00,0,0,"14,631.7300",0
000503946,20161209.,20170124.,C001117,A000338,250.00,CRC,"12,750.00",1,-1,0,"1,657.50",0,0,"3,455.9200",0
000503967,20161210.,20161202.,C000712,A000371,4.00,CRC,"16,700.00",1,-1,0,"2,171.00",0,0,"3,187.5900",0
000504035,20161212.,20170112.,C001074,A000349,1.00,CRC,"1,900.00",1,-1,0,247.00,0,0,2.440.200,0
000504079,20161212.,20161228.,C003457,A000320,8.00,CRC,"9,160.00",1,-1,0,"1,190.80",0,0,"2,840.8500",0
000504096,20161212.,20161203.,C000957,A000309,1.00,CRC,"11,795.00",1,-1,0,"1,533.35",0,0,"5,308.2000",0
000504194,20161212.,20170112.,C000936,A000336,6.00,CRC,"8,748.00",1,-1,0,"1,137.24",0,0,"4,531.7600",0
000504210,20161212.,20170212.,C000910,A000341,30.00,CRC,"5,411.10",2,-1,0,675.31,0,0,"2,594.0700",0
000504228,20161212.,20170212.,C000910,A000341,30.00,CRC,"5,411.10",2,-1,0,675.31,0,0,"2,594.0700",0
000504240,20161212.,20170212.,C000910,A000321,180.00,CRC,"124,173.00",2,-1,0,"15,496.79",0,0,"24,196.0000",0
000504240,20161212.,20170212.,C000910,A000329,120.00,CRC,"101,400.00",2,-1,0,"12,654.72",0,0,"27,880.0700",0
000504271,20161212.,20170112.,C000629,A000321,50.00,CRC,"46,500.00",1,-1,0,0.00,0,0,"20,108.3100",0
000504271,20161212.,20170112.,C000629,A000329,50.00,CRC,"51,250.00",1,-1,0,0.00,0,0,"22,306.6900",0
000504287,20161212.,20170112.,C000652,A000321,12.00,CRC,"11,160.00",1,-1,0,0.00,0,0,"4,825.9900",0
000504287,20161212.,20170112.,C000652,A000329,12.00,CRC,"12,300.00",1,-1,0,0.00,0,0,"5,353.6100",0
000504288,20161212.,20161212.,C003124,A000329,3.00,CRC,"3,075.00",1,-1,0,0.00,0,0,"1,338.4000",0
000504288,20161212.,20161212.,C003124,A000348,6.00,CRC,"7,650.00",1,-1,0,994.50,0,0,9.807.500,0
000504313,20161212.,20170212.,C000345,A000313,2.00,CRC,"26,000.00",1,-1,0,"3,380.00",0,0,"9,826.0700",0
000504338,20161212.,20170112.,C001260,A000384,15.00,CRC,"33,600.00",1,-1,0,0.00,0,0,"8,946.0000",0
000504409,20161212.,20170112.,C002326,A000348,12.00,CRC,"15,300.00",1,-1,0,"1,989.00",0,0,"1,961.5000",0
000504588,20161213.,20170113.,C000856,A000321,12.00,CRC,"11,160.00",1,-1,0,0.00,0,0,"4,825.9900",0
000504590,20161213.,20170113.,C003072,A000314,2.00,CRC,"3,800.00",1,-1,0,494.00,0,0,7.270.100,0
000504591,20161213.,20170113.,C003079,A000314,3.00,CRC,"5,700.00",1,-1,0,741.00,0,0,"1,090.5100",0
000504599,20161213.,20170113.,C000092,A000330,6.00,CRC,"26,160.00",1,-1,0,"3,400.80",0,0,"9,154.0800",0
000504599,20161213.,20170113.,C000092,A000319,6.00,CRC,"7,068.00",1,-1,0,918.84,0,0,"2,154.0900",0
000504696,20161214.,20161214.,C001242,A000322,12.00,CRC,"12,540.00",1,-1,0,"1,630.20",0,0,"3,629.3200",0
000504696,20161214.,20161214.,C001242,A000340,6.00,CRC,"1,259.70",1,-1,0,163.76,0,0,6.792.700,0
000504867,20161214.,20170114.,C000638,A000321,24.00,CRC,"22,320.00",1,-1,0,0.00,0,0,"9,651.9900",0
000504875,20161214.,20170114.,C001443,A000379,3.00,CRC,"16,114.95",1,-1,0,0.00,0,0,"3,223.5400",0
000504875,20161214.,20170114.,C001443,A000376,3.00,CRC,"14,862.60",1,-1,0,0.00,0,0,"2,971.6900",0
000504875,20161214.,20170114.,C001443,A000388,4.00,CRC,"20,930.00",1,-1,0,"2,720.90",0,0,"6,371.3200",0
000504958,20161214.,20170214.,C000369,A000329,6.00,CRC,"6,150.00",1,-1,0,0.00,0,0,"2,676.8000",0
000504958,20161214.,20170214.,C000369,A000321,6.00,CRC,"5,580.00",1,-1,0,0.00,0,0,"2,413.0000",0
000504969,20161214.,20170314.,C000233,A000388,6.00,CRC,"28,734.00",1,-1,0,"3,735.42",0,0,"6,895.9800",0
000504992,20161215.,20170215.,C000910,A000329,"3,000.00",CRC,"2,535,000.00",2,-1,0,"316,368.00",0,0,"697,001.7000",0
000504992,20161215.,20170215.,C000910,A000321,"3,000.00",CRC,"2,069,550.00",2,-1,0,"258,279.84",0,0,"403,266.6000",0
000504999,20161215.,20170115.,C000207,A000348,20.00,CRC,"25,500.00",1,-1,0,"3,315.00",0,0,"3,269.1600",0
000505058,20161215.,20170115.,C001591,A000321,12.00,CRC,"11,160.00",1,-1,0,0.00,0,0,"4,825.9900",0
000505081,20161215.,20170115.,C000510,A000329,12.00,CRC,"11,685.00",1,-1,0,0.00,0,0,"4,738.6100",0
000505081,20161215.,20170115.,C000510,A000326,6.00,CRC,"5,671.50",1,-1,0,0.00,0,0,"2,454.3600",0
000505123,20161215.,20170115.,C003442,A000314,2.00,CRC,"3,800.00",1,-1,0,494.00,0,0,7.270.100,0
000505123,20161215.,20170115.,C003442,A000305,30.00,CRC,"8,850.00",1,-1,0,"1,150.50",0,0,"1,901.7500",0
000505162,20161215.,20161215.,C003600,A000329,10.00,CRC,"10,250.00",1,-1,0,0.00,0,0,"4,461.3400",0
000505162,20161215.,20161215.,C003600,A000321,10.00,CRC,"9,300.00",1,-1,0,0.00,0,0,"4,021.6600",0
000505295,20161216.,20161207.,C001749,A000314,6.00,CRC,"11,400.00",1,-1,0,"1,482.00",0,0,"2,181.0200",0
000505348,20161216.,20170116.,C000643,A000329,15.00,CRC,"15,375.00",1,-1,0,0.00,0,0,"6,692.0100",0
000505366,20161216.,20170116.,C000080,A000337,10.00,CRC,"13,785.80",1,-1,0,0.00,0,0,"6,096.5500",0
000505366,20161216.,20170116.,C000080,A000329,12.00,CRC,"12,300.00",1,-1,0,0.00,0,0,"5,353.6100",0
000505375,20161216.,20170116.,C001404,A000314,5.00,CRC,"9,500.00",1,-1,0,"1,235.00",0,0,"1,817.5100",0
000505377,20161216.,20170116.,C003157,A000301,24.00,CRC,"5,880.00",1,-1,0,764.40,0,0,"2,066.7700",0
000505408,20161216.,20170116.,C000572,A000388,12.00,CRC,"62,790.00",1,-1,0,"8,162.70",0,0,"19,113.9500",0
000505420,20161216.,20170316.,C003023,A000379,10.00,CRC,"53,716.50",1,-1,0,0.00,0,0,"10,745.1300",0
000505420,20161216.,20170316.,C003023,A000387,10.00,CRC,"53,530.00",1,-1,0,"6,958.90",0,0,"19,083.7000",0
000505420,20161216.,20170316.,C003023,A000388,1.00,CRC,"5,232.50",1,-1,0,680.22,0,0,"1,592.8300",0
000505429,20161216.,20170116.,C001977,A000329,6.00,CRC,"6,150.00",1,-1,0,0.00,0,0,"2,676.8000",0
000505429,20161216.,20170116.,C001977,A000326,5.00,CRC,"4,975.00",1,-1,0,0.00,0,0,"2,294.0500",0
000505429,20161216.,20170116.,C001977,A000321,6.00,CRC,"5,580.00",1,-1,0,0.00,0,0,"2,413.0000",0
000505471,20161216.,20170116.,C001244,A000329,20.00,CRC,"18,450.00",1,-1,0,0.00,0,0,"6,872.6800",0
000505490,20161216.,20170116.,C002235,A000359,24.00,CRC,"49,848.00",1,-1,0,0.00,0,0,"3,180.1500",0
000505491,20161216.,20170216.,C000345,A000348,36.00,CRC,"45,900.00",1,-1,0,"5,967.00",0,0,"5,884.5000",0
000505559,20161216.,20170116.,C001074,A000344,20.00,CRC,"4,080.00",1,-1,0,530.40,0,0,"2,316.0200",0
000505559,20161216.,20170116.,C001074,A000345,15.00,CRC,"3,315.00",1,-1,0,430.95,0,0,"1,917.6400",0
000505673,20161219.,20170219.,C000910,A000341,30.00,CRC,"5,411.10",2,-1,0,675.31,0,0,"2,594.0700",0
000505757,20161219.,20161219.,C002205,A000345,12.00,CRC,"2,519.40",1,-1,0,327.52,0,0,"1,401.5100",0
000505757,20161219.,20161219.,C002205,A000344,12.00,CRC,"2,325.60",1,-1,0,302.33,0,0,"1,267.2100",0
000505774,20161219.,20170119.,C001351,A000348,50.00,CRC,"63,750.00",1,-1,0,"8,287.50",0,0,"8,172.9100",0
000505799,20161219.,20170119.,C000384,A000329,12.00,CRC,"12,300.00",1,-1,0,0.00,0,0,"5,353.6100",0
000505946,20161220.,20170120.,C001919,A000336,6.00,CRC,"8,748.00",1,-1,0,"1,137.24",0,0,"4,531.7600",0
000505954,20161220.,20170120.,C000643,A000329,8.00,CRC,"8,200.00",1,-1,0,0.00,0,0,"3,569.0700",0
000505960,20161220.,20170120.,C000356,A000336,12.00,CRC,"17,496.00",1,-1,0,"2,274.48",0,0,"9,063.5200",0
000505977,20161220.,20170120.,C001422,A000341,12.00,CRC,"2,656.80",1,-1,0,345.38,0,0,"1,616.5600",0
000505977,20161220.,20170120.,C001422,A000321,12.00,CRC,"11,394.00",1,-1,0,0.00,0,0,"5,059.9900",0
000506020,20161220.,20170120.,C000327,A000338,50.00,CRC,"3,400.00",1,-1,0,442.00,0,0,"1,541.1900",0
000506249,20161221.,20170121.,C000994,A000329,48.00,CRC,"46,740.00",1,-1,0,0.00,0,0,"18,954.4300",0
000506255,20161221.,20170121.,C002174,A000348,12.00,CRC,"15,300.00",1,-1,0,"1,989.00",0,0,"1,961.5000",0
000506283,20161221.,20170321.,C001473,A000321,24.00,CRC,"22,320.00",1,-1,0,0.00,0,0,"9,651.9900",0
000506287,20161221.,20170121.,C002138,A000336,1.00,CRC,"1,458.00",1,-1,0,189.54,0,0,7.552.900,0
000506291,20161221.,20170121.,C000621,A000319,12.00,CRC,"14,136.00",1,-1,0,"1,837.68",0,0,"4,308.1800",0
000506291,20161221.,20170121.,C000621,A000322,8.00,CRC,"8,800.00",1,-1,0,"1,144.00",0,0,"2,859.5400",0
000506313,20161221.,20170121.,C001351,A000308,2.00,CRC,"16,590.00",1,-1,0,"2,156.70",0,0,"7,549.5200",0
000506314,20161221.,20170121.,C001351,A000348,50.00,CRC,"63,750.00",1,-1,0,"8,287.50",0,0,"8,172.9100",0
000506325,20161221.,20170121.,C000084,A000376,6.00,CRC,"29,725.20",1,-1,0,0.00,0,0,"5,943.3800",0
000506336,20161221.,20170121.,C003285,A000338,50.00,CRC,"3,400.00",1,-1,0,442.00,0,0,"1,541.1800",0
000506433,20161222.,20170222.,C000479,A000359,6.00,CRC,"9,406.44",1,-1,0,0.00,0,0,"-2,260.5200",0
000506454,20161222.,20170122.,C000329,A000321,15.00,CRC,"13,950.00",1,-1,0,0.00,0,0,"6,032.4900",0
000506495,20161222.,20170122.,C000883,A000336,30.00,CRC,"43,740.00",1,-1,0,"5,686.20",0,0,"22,658.8100",0
000506602,20161222.,20170122.,C001611,A000309,2.00,CRC,"23,590.00",1,-1,0,"3,066.70",0,0,"10,616.4000",0
000506617,20161222.,20170122.,C000092,A000329,10.00,CRC,"10,250.00",1,-1,0,0.00,0,0,"4,461.3400",0
000506617,20161222.,20170122.,C000092,A000326,1.00,CRC,995.00,1,-1,0,0.00,0,0,4.588.100,0
000506710,20161222.,20170106.,C003554,A000341,12.00,CRC,"2,652.00",1,-1,0,344.76,0,0,"1,611.7700",0
000506744,20161223.,20170123.,C000278,A000382,36.00,CRC,"64,851.48",1,-1,0,0.00,0,0,"14,689.4400",0
000506795,20161223.,20170123.,C002007,A000329,6.00,CRC,"6,150.00",1,-1,0,0.00,0,0,"2,676.8000",0
000506849,20161223.,20170123.,C000053,A000388,6.00,CRC,"31,395.00",1,-1,0,"4,081.35",0,0,"4,095.0000",0
000506893,20161223.,20170123.,C000856,A000379,6.00,CRC,"32,229.90",1,-1,0,0.00,0,0,"6,447.0800",0
000506893,20161223.,20170123.,C000856,A000376,6.00,CRC,"29,725.20",1,-1,0,0.00,0,0,"5,943.3800",0
000506894,20161223.,20170123.,C002019,A000329,24.00,CRC,"24,600.00",1,-1,0,0.00,0,0,"10,707.2100",0
000506894,20161223.,20170123.,C002019,A000321,24.00,CRC,"22,320.00",1,-1,0,0.00,0,0,"9,651.9900",0
000506907,20161223.,20170123.,C003316,A000321,6.00,CRC,"5,580.00",1,-1,0,0.00,0,0,"2,413.0000",0
000506949,20161223.,20170123.,C002110,A000376,6.00,CRC,"29,725.20",1,-1,0,0.00,0,0,"5,943.3800",0
000506949,20161223.,20170123.,C002110,A000379,4.00,CRC,"21,486.60",1,-1,0,0.00,0,0,"4,298.0500",0
000507004,20161223.,20161223.,C003124,A000329,3.00,CRC,"3,075.00",1,-1,0,0.00,0,0,"1,338.4000",0
000507030,20161226.,20170226.,C000910,A000341,30.00,CRC,"5,411.10",2,-1,0,675.31,0,0,"2,884.9100",0
000507039,20161226.,20170226.,C000910,A000341,60.00,CRC,"10,822.20",2,-1,0,"1,350.61",0,0,"5,769.8000",0
000507041,20161226.,20161226.,C001586,A000329,36.00,CRC,"36,900.00",1,-1,0,0.00,0,0,"16,060.8200",0
000507041,20161226.,20161226.,C001586,A000319,36.00,CRC,"42,408.00",1,-1,0,"5,513.04",0,0,"12,924.5300",0
000507041,20161226.,20161226.,C001586,A000337,6.00,CRC,"8,271.48",1,-1,0,0.00,0,0,"3,657.9300",0
000507060,20161227.,20170227.,C000910,A000329,"12,000.00",CRC,"10,140,000.00",2,-1,0,0.00,0,0,"2,788,006.8000",0
000507060,20161227.,20170227.,C000910,A000321,"12,000.00",CRC,"8,278,200.00",2,-1,0,0.00,0,0,"1,613,066.4000",0
000507065,20161227.,20170227.,C000910,A000329,"12,000.00",CRC,"10,140,000.00",2,-1,0,"1,265,472.00",0,0,"2,788,006.8000",0
000507065,20161227.,20170227.,C000910,A000321,"12,000.00",CRC,"8,278,200.00",2,-1,0,"1,033,119.36",0,0,"1,613,066.4000",0
000507268,20170103.,20170203.,C003182,A000388,4.00,CRC,"20,932.00",1,-1,0,"2,721.16",0,0,"2,732.0000",0
000507268,20170103.,20170203.,C003182,A000376,3.00,CRC,"14,862.00",1,-1,0,0.00,0,0,"2,971.0900",0
000507268,20170103.,20170203.,C003182,A000379,3.00,CRC,"16,116.00",1,-1,0,0.00,0,0,"3,224.5900",0
000507268,20170103.,20170203.,C003182,A000382,5.00,CRC,"9,005.00",1,-1,0,0.00,0,0,"2,038.0500",0
000507295,20170103.,20170203.,C000034,A000382,12.00,CRC,"21,617.16",1,-1,0,0.00,0,0,"4,896.4800",0
000507298,20170103.,20170203.,C001722,A000321,12.00,CRC,"11,160.00",1,-1,0,0.00,0,0,"4,825.9900",0
000507298,20170103.,20170203.,C001722,A000329,12.00,CRC,"12,300.00",1,-1,0,0.00,0,0,"5,353.6100",0
000507324,20170103.,20170203.,C001074,A000345,12.00,CRC,"2,652.00",1,-1,0,344.76,0,0,"1,534.1100",0
000507343,20170103.,20170203.,C000149,A000348,12.00,CRC,"15,300.00",1,-1,0,"1,989.00",0,0,"1,961.5000",0
000507352,20170103.,20161226.,C000712,A000379,1.00,CRC,"5,371.65",1,-1,0,0.00,0,0,"1,074.5100",0
000507358,20170103.,20170203.,C003369,A000345,30.00,CRC,"5,834.40",1,-1,0,758.47,0,0,"3,039.6800",0
000507358,20170103.,20170203.,C003369,A000329,25.00,CRC,"25,625.00",1,-1,0,0.00,0,0,"11,153.3500",0
000507358,20170103.,20170203.,C003369,A000344,30.00,CRC,"5,385.60",1,-1,0,700.13,0,0,"2,739.6300",0
000507358,20170103.,20170203.,C003369,A000321,25.00,CRC,"20,460.00",1,-1,0,0.00,0,0,"7,264.1600",0
000507363,20170103.,20170203.,C003493,A000329,6.00,CRC,"6,150.00",1,-1,0,0.00,0,0,"2,676.8000",0
000507368,20170103.,20170203.,C000083,A000344,12.00,CRC,"2,448.00",1,-1,0,318.24,0,0,"1,389.6100",0
000507377,20170103.,20170203.,C000410,A000376,6.00,CRC,"29,725.20",1,-1,0,0.00,0,0,"5,943.3800",0
000507377,20170103.,20170203.,C000410,A000355,6.00,CRC,"28,020.00",1,-1,0,0.00,0,0,"4,652.3300",0
000507381,20170103.,20170203.,C001836,A000388,5.00,CRC,"26,162.50",1,-1,0,"3,401.13",0,0,"3,412.5000",0
000507381,20170103.,20170203.,C001836,A000387,4.00,CRC,"21,412.00",1,-1,0,"2,783.55",0,0,"7,633.4800",0
000507386,20170103.,20170203.,C000856,A000329,12.00,CRC,"12,300.00",1,-1,0,0.00,0,0,"5,353.6100",0
000507386,20170103.,20170203.,C000856,A000321,12.00,CRC,"11,160.00",1,-1,0,0.00,0,0,"4,825.9900",0
000507414,20170103.,20170103.,C003482,A000344,8.00,CRC,"1,632.00",1,-1,0,212.16,0,0,9.264.100,0
000507442,20170103.,20170103.,C003212,A000336,2.00,CRC,"2,770.20",1,-1,0,360.13,0,0,"1,391.5100",0
000507485,20170103.,20170104.,C001577,A000321,6.00,CRC,"5,580.00",1,-1,0,0.00,0,0,"2,413.0000",0
000507536,20170104.,20170204.,C002045,A000345,12.00,CRC,"2,652.00",1,-1,0,344.76,0,0,"1,534.1100",0
000507536,20170104.,20170204.,C002045,A000336,12.00,CRC,"17,496.00",1,-1,0,"2,274.48",0,0,"9,223.8500",0
000507536,20170104.,20170204.,C002045,A000344,12.00,CRC,"2,448.00",1,-1,0,318.24,0,0,"1,389.6100",0
000507543,20170104.,20170104.,C001242,A000348,12.00,CRC,"14,535.00",1,-1,0,"1,889.55",0,0,"1,196.5000",0
000507543,20170104.,20170104.,C001242,A000340,5.00,CRC,"1,049.75",1,-1,0,136.47,0,0,5.660.600,0
000507607,20170104.,20170304.,C000910,A000348,48.00,CRC,"71,904.00",2,-1,0,"8,973.62",0,0,"15,673.8300",0
000507607,20170104.,20170304.,C000910,A000341,90.00,CRC,"16,233.30",2,-1,0,"2,025.92",0,0,"8,398.7400",0
000507641,20170104.,20170204.,C000278,A000378,10.00,CRC,"72,670.00",1,-1,0,0.00,0,0,"15,840.0000",0
000507641,20170104.,20170204.,C000278,A000377,6.00,CRC,"76,590.00",1,-1,0,0.00,0,0,"11,092.2700",0
000507652,20170104.,20170204.,C001892,A000376,3.00,CRC,"14,862.60",1,-1,0,0.00,0,0,"2,971.6900",0
000507652,20170104.,20170204.,C001892,A000382,5.00,CRC,"9,007.15",1,-1,0,0.00,0,0,"2,040.2000",0
000507652,20170104.,20170204.,C001892,A000379,3.00,CRC,"16,114.95",1,-1,0,0.00,0,0,"3,223.5400",0
000507671,20170104.,20170104.,C002884,A000379,3.00,CRC,"16,114.95",1,-1,0,0.00,0,0,"3,223.5400",0
000507671,20170104.,20170104.,C002884,A000376,3.00,CRC,"14,862.60",1,-1,0,0.00,0,0,"2,971.6900",0
000507671,20170104.,20170104.,C002884,A000382,5.00,CRC,"9,007.15",1,-1,0,0.00,0,0,"2,040.2000",0
000507706,20170104.,20170204.,C000482,A000345,2.00,CRC,442.00,1,-1,0,57.46,0,0,2.556.800,0
000507706,20170104.,20170204.,C000482,A000344,3.00,CRC,612.00,1,-1,0,79.56,0,0,3.474.000,0
